,2x2,2x4,4x4,4x8,8x8,8x16,16x16,16x32,32x32,32x64
User Time,6.78,10.28,6.95,8.57,8.07,11.57,17.14,33.70,60.26,166.26
Sys Time,0.91,1.87,0.89,1.08,1.08,1.12,1.37,1.96,3.23,6.04
Wall Clock Time,0:07.50,0:10.33,0:07.53,0:07.85,0:07.63,0:08.20,0:09.22,0:12.25,0:17.37,0:50.03
Maximum resident set size (kB),725940,727976,726764,727136,726548,727644,726328,842472,1363036,2722052
